SNOMED-CT,38341003,HCPCS,,ICD-10,I10,Hypertension
SNOMED-CT,15777000,HCPCS,,ICD-10,R73.09,Prediabetes
SNOMED-CT,44054006,HCPCS,0403T,ICD-10,E11.9,Diabetes
SNOMED-CT,127013003,HCPCS,1008F,ICD-10,E11.21,Diabetic renal disease (disorder)
SNOMED-CT,46177005,HCPCS,,ICD-10,N18.6,End stage renal disease (disorder)
SNOMED-CT,422034002,HCPCS,67227,ICD-10,E11.319,Diabetic retinopathy associated with type II diabetes mellitus (disorder)
SNOMED-CT,271396005,HCPCS,,ICD-10,Z89.9,History of limb amputation (situation)
SNOMED-CT,91935009,HCPCS,95044,ICD-10,Z91.010,Allergy to peanuts
SNOMED-CT,91934008,HCPCS,95044,ICD-10,Z91.018,Allergy to nut
SNOMED-CT,417532002,HCPCS,95044,ICD-10,Z91.013,Allergy to fish
SNOMED-CT,300913006,HCPCS,95044,ICD-10,Z91.013,Shellfish allergy
SNOMED-CT,230690007,HCPCS,1065F,ICD-10,I63.9,Stroke
SNOMED-CT,9855000,HCPCS,,ICD-10,,Natural death with unknown
SNOMED-CT,53741008,HCPCS,,ICD-10,I25.10,Coronary Heart Disease
SNOMED-CT,22298006,HCPC,0439T,ICD-10,I21.3,Myocardial Infarction
SNOMED-CT,410429000,HCPC,,ICD-10,I46.9,Cardiac Arrest
SNOMED-CT,49436004,HCPC,93657,ICD-10,I48.91,Atrial Fibrillation
SNOMED-CT,49601007,HCPC,,ICD-10,R94.30,Disorder of cardiovascular
SNOMED-CT,161622006,HCPCS,,ICD-10,Z89.9,History of lower limb amputation (situation)
SNOMED-CT,429280009,HCPCS,,ICD-10,Z89.439,History of amputation of foot (situation)
SNOMED-CT,698423002,HCPCS,,ICD-10,Z87.828,History of disarticulation at wrist (situation)
SNOMED-CT,161621004,HCPCS,,ICD-10,Z89.209,History of upper limb amputation (situation)
SNOMED-CT,399211009,HCPCS,,ICD-10,I25.2,History of myocardial infarction (situation)
SNOMED-CT,429007001,HCPCS,,ICD-10,Z86.74,History of cardiac arrest (situation)
SNOMED-CT,698360004,HCPCS,0403T,ICD-10,,Diabetes self management plan
SNOMED-CT,160670007,HCPCS,,ICD-10,,Diabetic diet
SNOMED-CT,229065009,HCPCS,97110,ICD-10,,Exercise therapy
SNOMED-CT,698358001,HCPCS,,ICD-10,,Angina self management plan,?
SNOMED-CT,226234005,HCPCS,,ICD-10,,Healthy diet
SNOMED-CT,226060000,HCPCS,,ICD-10,,Stress management
SNOMED-CT,710081004,HCPCS,G9016,ICD-10,,Smoking cessation therapy,?
SNOMED-CT,444110003,HCPCS,,ICD-10,E11.9,Type II Diabetes Mellitus Well Controlled
SNOMED-CT,413757005,HCPCS,,ICD-10,,xCardiac status is consistent with or improved from preoperative baseline
SNOMED-CT,304540007,HCPCS,,ICD-10,,Recommendation to stop drug treatment
SNOMED-CT,311501008,HCPCS,,ICD-10,,Half to one hour before food
SNOMED-CT,13995008,HCPCS,23920,ICD-10,S48.012A,Amputation of left arm
SNOMED-CT,46028000,HCPCS,25927,ICD-10,,Amputation of right hand
SNOMED-CT,180030006,HCPCS,27888,ICD-10,Z89.439,Amputation of right foot
SNOMED-CT,79733001,HCPCS,27290,ICD-10,Z89.619,Amputation of right leg
SNOMED-CT,429500007,HCPCS,33216,ICD-10,,Monophasic defibrillation
SNOMED-CT,447365002,HCPCS,33270,ICD-10,Z95.810,Insertion of biventricular implantable cardioverter defibrillator
SNOMED-CT,18286008,Catheter ablation of tissue of heart
SNOMED-CT,415070008,HCPCS,,ICD-10,Z98.61,Percutaneous coronary intervention
SNOMED-CT,232717009,Coronary artery bypass grafting,
SNOMED-CT,433112001,Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance
SNOMED-CT,180325003,Electrical cardioversion
SNOMED-CT,170258001,Outpatient Encounter
SNOMED-CT,185349003,Encounter for 'check-up'
SNOMED-CT,50849002,Emergency room admission
SNOMED-CT,308646001,Death Certification
SNOMED-CT,367498001,Seasonal allergic rhinitis
SNOMED-CT,446096008,Perennial allergic rhinitis,J30.89
SNOMED-CT,232353008,Perennial allergic rhinitis with seasonal variation
SNOMED-CT,185345009,Encounter for symptom
SNOMED-CT,420174000,HCPCS,86001,ICD-10,Z91.018,Allergy to wheat
SNOMED-CT,91930004,HCPCS,86001,ICD-10,Z91.012,Allergy to eggs
SNOMED-CT,714035009,HCPCS,86001,ICD-10,Z91.018,Allergy to soy
SNOMED-CT,425525006,HCPCS,86001,ICD-10,Z91.011,Allergy to dairy product
SNOMED-CT,419263009,HCPCS,86001,ICD-10,J30.1,Allergy to tree pollen
SNOMED-CT,418689008,HCPCS,86001,ICD-10,J30.1,Allergy to grass pollen
SNOMED-CT,232347008,HCPCS,86001,ICD-10,Z91.09,Dander (animal) allergy
SNOMED-CT,232350006,HCPCS,86001,ICD-10,J30.89,House dust mite allergy
SNOMED-CT,419474003,HCPCS,86001,ICD-10,Z91.048,Allergy to mould
SNOMED-CT,424213003,HCPCS,86001,ICD-10,Z91.030,Allergy to bee venom
SNOMED-CT,300916003,HCPCS,860014,ICD-10,Z91.040,Latex allergy
SNOMED-CT,170837001,HCPCS,95044,ICD-10,T78.40XA,Allergic disorder initial assessment
SNOMED-CT,170836005,HCPCS,Allergic disorder monitoring,T78.40XD
SNOMED-CT,395142003,Allergy screening test,95004
SNOMED-CT,371883000,Outpatient procedure
SNOMED-CT,180256009,Subcutaneous immunotherapy
SNOMED-CT,170838006,Allergic disorder follow-up assessment
SNOMED-CT,241929008,Acute allergic reaction
SNOMED-CT,313191000,Injection of adrenaline
SNOMED-CT,185347001,Encounter for problem
SNOMED-CT,58332002,Allergy education
SNOMED-CT,74400008,Appendicitis,K37
SNOMED-CT,47693006,Rupture of appendix,K35.2
SNOMED-CT,428251008,History of appendectomy,Z90.49
SNOMED-CT,183452005,Encounter Inpatient
SNOMED-CT,80146002,HCPCS,44950,ICD-10,,Appendectomy
SNOMED-CT,233678006,Childhood asthma,1039F
SNOMED-CT,195967001,Unspecified asthma, uncomplicated,1039F
SNOMED-CT,171231001,Asthma screening,1005F
SNOMED-CT,699728000,Asthma self management,1038F
SNOMED-CT,710818004,Inhaled steroid therapy,4140F
SNOMED-CT,708409001,Home nebulizer therapy,A7003
SNOMED-CT,229298005,Breathing control,94010
SNOMED-CT,183478001,Emergency hospital admission for asthma
SNOMED-CT,394701000,Asthma follow-up
SNOMED-CT,192127007,Child attention deficit disorder
SNOMED-CT,386522008,Overactivity/inattention behavior management
SNOMED-CT,409063005,Counseling
SNOMED-CT,405783006,HCPCS,90791,ICD-10,,Psychological assessment
SNOMED-CT,228557008,Cognitive and behavioral therapy
SNOMED-CT,10509002,Acute bronchitis (disorder)
SNOMED-CT,399208008,HCPCS,71010,ICD-10,,Plain chest X-ray (procedure)
SNOMED-CT,269911007,HCPCS,89220,ICD-10,,Sputum examination (procedure)
